SA2,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Hinduism_P,Islam_P,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_P,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_P,Religious_affiliation_ns_P,tot_p
1203,343,1672,0,216,27,4896,17,805,31,9,91,56,36,163,343,59,20,509,389,6,254,248,10,0,51,72,6333,45,10,1461,18172
1204,140,873,0,76,0,2803,0,427,21,4,23,4,23,74,152,16,9,232,173,3,99,60,5,0,19,33,3068,26,0,634,8997
1205,614,482,0,86,0,2797,3,703,16,0,10,22,40,74,143,10,9,184,310,0,456,649,0,3,82,21,3439,23,7,1063,11246
1207,965,1085,3,168,0,6919,27,2527,92,13,40,62,49,118,277,36,12,322,641,16,1149,1689,3,16,476,72,6877,67,45,3078,26844
1208,576,770,53,80,7,8535,16,1949,48,12,18,33,43,58,175,17,10,184,464,11,989,1806,8,0,389,45,5395,39,23,2146,23899
1209,186,2386,0,409,120,5456,10,592,28,12,96,28,52,119,400,31,0,678,506,7,71,82,13,0,21,43,9534,72,58,1722,22732
1210,32,408,0,41,0,615,8,27,7,5,14,0,8,8,48,0,0,118,73,0,0,3,0,0,0,18,1675,35,6,275,3424
1211,15,445,0,51,0,674,3,52,4,0,12,0,3,22,98,0,17,115,78,0,4,0,0,0,11,31,1702,11,3,466,3817
1212,53,635,0,21,0,788,0,60,7,0,13,0,0,7,98,9,5,183,129,5,7,0,0,0,0,20,2439,14,29,580,5102
1213,92,807,0,120,76,3109,0,538,16,5,41,29,24,40,160,15,18,264,216,10,55,104,3,0,30,30,2843,3,5,656,9309
1214,35,705,0,132,18,1195,6,86,3,3,35,0,19,46,144,0,10,233,173,11,13,13,17,0,0,15,3114,18,19,603,6666
1215,99,1579,0,163,150,3524,0,317,10,5,64,0,40,68,246,39,7,460,289,3,54,40,6,0,25,33,5347,40,9,992,13609
1216,349,325,4,54,0,1915,11,904,7,6,15,39,17,77,110,7,3,95,283,5,280,550,0,0,84,21,1715,0,3,552,7431
1217,213,343,0,40,0,1746,6,699,4,0,3,10,24,97,42,0,0,97,221,3,191,285,0,0,44,23,1564,9,0,532,6196
1219,1203,581,63,97,0,5514,6,3423,44,11,18,148,27,134,181,14,34,121,946,3,912,3286,0,0,851,68,2923,14,11,2063,22696
1220,423,805,4,128,0,6066,7,2469,62,33,21,143,45,161,151,4,17,215,799,3,425,873,0,0,201,69,3116,16,9,1331,17596
1221,383,576,3,90,0,3661,3,1383,23,20,8,103,10,140,170,29,7,147,437,3,360,631,6,0,100,58,2484,6,0,912,11753
1223,1344,415,18,65,0,5172,3,3091,46,27,24,64,49,133,130,3,29,117,898,3,821,2756,3,3,750,34,2585,7,12,1556,20158
